City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bambous Virieux,MU,84.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
8,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Beira,MZ,72.95,few clouds,-19.8436,34.8389,Beira Terrace Hotel
10,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Poum,NC,77.72,overcast clouds,-20.2333,164.0167,Gîte kajeon
12,Port Macquarie,AU,73.4,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
13,Busselton,AU,77.0,overcast clouds,-33.65,115.3333,Observatory Guest House
18,Bowen,AU,78.8,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
19,Flinders,AU,75.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
23,Mityana,UG,71.6,few clouds,0.4175,32.0228,Green Valley Hotel
28,Sandy Bay,AU,78.8,clear sky,-42.913000000000004,147.3532,St Ives Hobart Accommodation Tasmania
29,Jijiga,ET,74.89,scattered clouds,9.35,42.8,RAMAAS HOTEL
35,Hobart,AU,78.8,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
36,Rikitea,PF,78.82,light rain,-23.1203,-134.9692,Pension Maro'i
40,Butaritari,KI,82.89,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
41,Faanui,PF,82.9,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Ixtapa,MX,71.01,clear sky,20.7,-105.2,Hotel Plaza Providencia
50,Asosa,ET,78.28,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
52,Qui Nhon,VN,84.06,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
57,Inhambane,MZ,73.4,few clouds,-23.865,35.3833,Oceano
62,Patan,NP,73.4,few clouds,27.6667,85.3333,Hotel Goodwill
69,New Norfolk,AU,78.01,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
71,Katsuura,JP,71.01,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
74,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
75,Port Blair,IN,77.05,moderate rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
77,Hithadhoo,MV,84.07,broken clouds,-0.6,73.0833,Scoop Guest House
86,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
90,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
98,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
100,Vanimo,PG,82.58,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
108,Ndioum,SN,76.06,clear sky,16.5129,-14.6471,l'hôtel samassa
