City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,43.0,71,100,3.0,moderate rain
1,Bluff,NZ,-46.6,168.3333,55.99,78,100,1.99,overcast clouds
2,Kuusamo,FI,65.9667,29.1833,32.0,86,90,12.66,light snow
3,Tasiilaq,GL,65.6145,-37.6368,26.6,50,96,4.61,overcast clouds
4,Bambous Virieux,MU,-20.3428,57.7575,84.0,89,75,3.44,broken clouds
5,Aklavik,CA,68.2191,-135.0107,-2.2,77,100,8.05,light snow
6,Airai,TL,-8.9266,125.4092,63.93,92,100,1.61,overcast clouds
7,Rawson,AR,-43.3002,-65.1023,59.16,87,100,7.2,overcast clouds
8,Mahebourg,MU,-20.4081,57.7,78.8,89,75,3.44,broken clouds
9,Beira,MZ,-19.8436,34.8389,72.95,78,19,4.18,few clouds
10,Saint-Philippe,RE,-21.3585,55.7679,80.6,74,75,19.57,light rain
11,Poum,NC,-20.2333,164.0167,77.72,77,100,13.82,overcast clouds
12,Port Macquarie,AU,-31.4333,152.9167,73.4,64,73,13.8,broken clouds
13,Busselton,AU,-33.65,115.3333,77.0,72,100,4.0,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,44.6,87,0,3.44,clear sky
15,Yellowknife,CA,62.456,-114.3525,19.0,73,75,12.66,broken clouds
16,Hilo,US,19.7297,-155.09,66.99,100,90,3.56,moderate rain
17,Georgetown,MY,5.4112,100.3354,91.99,62,40,5.75,scattered clouds
18,Bowen,AU,-20.0167,148.2333,78.8,69,90,17.27,overcast clouds
19,Flinders,AU,-34.5833,150.8552,75.99,66,0,5.01,clear sky
20,Lata,PT,40.1629,-8.3327,61.0,82,87,5.01,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,62.01,77,40,13.8,scattered clouds
22,Longyearbyen,SJ,78.2186,15.6401,30.2,69,75,13.8,broken clouds
23,Mityana,UG,0.4175,32.0228,71.6,78,20,13.8,few clouds
24,Koundara,GN,12.4833,-13.3,74.25,54,2,4.65,clear sky
25,Ushuaia,AR,-54.8,-68.3,39.2,81,0,2.3,clear sky
26,Evensk,RU,61.95,159.2333,23.49,86,96,5.14,overcast clouds
27,Broome,US,42.2506,-75.833,41.0,93,90,8.05,overcast clouds
28,Sandy Bay,AU,-42.913,147.3532,78.8,24,0,14.97,clear sky
29,Jijiga,ET,9.35,42.8,74.89,28,37,1.99,scattered clouds
30,Lavrentiya,RU,65.5833,-171.0,-6.9,88,20,6.49,few clouds
31,Provideniya,RU,64.3833,-173.3,8.6,66,0,0.65,clear sky
32,Bredasdorp,ZA,-34.5322,20.0403,59.0,82,99,2.3,overcast clouds
33,Geraldton,AU,-28.7667,114.6,100.4,18,0,11.5,clear sky
34,Gull Lake,CA,50.1001,-108.4847,28.4,74,1,8.05,clear sky
35,Hobart,AU,-42.8794,147.3294,78.8,24,0,14.97,clear sky
36,Rikitea,PF,-23.1203,-134.9692,78.82,73,100,18.32,light rain
37,Tessalit,ML,20.1986,1.0114,72.52,11,1,8.03,clear sky
38,Kruisfontein,ZA,-34.0033,24.7314,63.0,80,100,7.25,overcast clouds
39,Orlik,RU,52.5178,99.825,23.67,52,42,6.24,scattered clouds
40,Butaritari,KI,3.0707,172.7902,82.89,78,34,15.95,scattered clouds
41,Faanui,PF,-16.4833,-151.75,82.9,68,100,4.94,overcast clouds
42,Hay River,CA,60.8156,-115.7999,33.8,75,100,5.75,overcast clouds
43,Mailani,IN,28.2833,80.35,91.74,3,0,11.34,clear sky
44,Birao,CF,10.2849,22.7882,79.57,13,91,10.94,overcast clouds
45,Baruun-Urt,MN,46.6806,113.2792,48.81,47,100,11.95,overcast clouds
46,Cherskiy,RU,68.75,161.3,5.86,89,100,5.64,overcast clouds
47,Lebu,CL,-37.6167,-73.65,56.08,90,51,13.06,broken clouds
48,Ixtapa,MX,20.7,-105.2,71.01,68,1,3.6,clear sky
49,Partizanskoye,RU,55.5006,94.39,28.65,72,95,15.57,overcast clouds
50,Asosa,ET,10.0667,34.5333,78.28,19,61,1.63,broken clouds
51,Ponta Do Sol,PT,32.6667,-17.1,59.0,80,24,5.99,few clouds
52,Qui Nhon,VN,13.7667,109.2333,84.06,71,52,17.9,broken clouds
53,Gasa,PS,31.5,34.4667,55.99,100,21,3.0,few clouds
54,Eureka,US,40.8021,-124.1637,52.0,70,0,4.61,clear sky
55,Barrow,US,71.2906,-156.7887,-5.8,59,1,16.11,clear sky
56,Raipur,IN,21.2333,81.6333,96.8,30,16,3.44,haze
57,Inhambane,MZ,-23.865,35.3833,73.4,78,20,5.5,few clouds
