City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sonamura,IN,2021-03-29 00:35:27,23.4719,91.2664,68.0,88,0,0.56
1,Tshikapa,CD,2021-03-29 00:35:27,-6.4167,20.8,69.28,95,93,0.45
2,Kiama,AU,2021-03-29 00:35:28,-34.6833,150.8667,73.99,52,0,5.01
3,Severo-Kurilsk,RU,2021-03-29 00:35:28,50.6789,156.125,30.97,72,2,6.35
4,Vardo,NO,2021-03-29 00:35:28,70.3705,31.1107,33.42,88,63,16.71
5,Olinda,BR,2021-03-29 00:35:29,-8.0089,-34.8553,77.0,83,40,5.75
6,Lorengau,PG,2021-03-29 00:35:29,-2.0226,147.2712,84.85,72,100,9.28
7,Albany,US,2021-03-29 00:32:51,42.6001,-73.9662,52.0,80,100,14.05
8,Tura,IN,2021-03-29 00:35:29,25.5198,90.2201,75.16,33,0,4.43
9,Kapaa,US,2021-03-29 00:35:30,22.0752,-159.319,77.0,69,90,16.11
10,Ishim,RU,2021-03-29 00:32:10,56.1128,69.4902,10.06,94,17,9.04
11,Punta Arenas,CL,2021-03-29 00:33:08,-53.15,-70.9167,46.0,70,0,6.91
12,Guerrero Negro,MX,2021-03-29 00:34:14,27.9769,-114.0611,76.21,33,18,7.94
13,Pevek,RU,2021-03-29 00:35:31,69.7008,170.3133,-8.37,94,78,5.91
14,Bethel,US,2021-03-29 00:35:31,41.3712,-73.414,57.0,97,100,8.99
15,Zatoka,UA,2021-03-29 00:35:32,46.0725,30.4654,41.0,87,90,17.9
16,New Norfolk,AU,2021-03-29 00:35:32,-42.7826,147.0587,57.99,58,100,1.99
17,Kodiak,US,2021-03-29 00:35:32,57.79,-152.4072,44.6,57,1,14.97
18,Saint-Philippe,RE,2021-03-29 00:35:33,-21.3585,55.7679,77.0,73,34,6.91
19,Jamestown,US,2021-03-29 00:35:33,42.097,-79.2353,37.99,93,90,22.97
20,Busselton,AU,2021-03-29 00:33:03,-33.65,115.3333,74.46,38,26,3.8
21,Mataura,NZ,2021-03-29 00:34:15,-46.1927,168.8643,61.0,88,22,13.0
22,Faanui,PF,2021-03-29 00:35:33,-16.4833,-151.75,82.81,72,35,21.32
23,Yellowknife,CA,2021-03-29 00:35:34,62.456,-114.3525,23.0,54,75,19.57
24,Port Hardy,CA,2021-03-29 00:35:34,50.6996,-127.4199,41.0,75,75,26.46
25,Lompoc,US,2021-03-29 00:35:23,34.6391,-120.4579,64.0,72,0,13.8
26,Dongsheng,CN,2021-03-29 00:35:34,39.8161,109.9776,39.81,24,100,0.47
27,Minsk,BY,2021-03-29 00:35:35,53.9,27.5667,32.0,100,81,4.47
28,Victoria,HK,2021-03-29 00:33:54,22.2855,114.1577,78.01,87,24,7.63
29,Terme,TR,2021-03-29 00:35:36,41.2092,36.9739,45.0,87,0,3.44
30,Prince Rupert,CA,2021-03-29 00:30:57,54.3161,-130.3201,44.6,53,75,10.36
31,Hasaki,JP,2021-03-29 00:35:36,35.7333,140.8333,64.0,94,75,3.44
32,Treinta Y Tres,UY,2021-03-29 00:35:37,-33.2333,-54.3833,63.61,73,65,5.46
33,Port Alfred,ZA,2021-03-29 00:35:37,-33.5906,26.891,64.96,76,100,21.23
34,Gongzhuling,CN,2021-03-29 00:35:38,43.5008,124.8198,41.0,43,6,19.44
35,Fenoarivo Atsinanana,MG,2021-03-29 00:35:38,-17.3667,49.4167,75.83,91,11,4.83
36,Cape Town,ZA,2021-03-29 00:34:10,-33.9258,18.4232,66.0,82,0,3.13
37,Waipawa,NZ,2021-03-29 00:35:39,-41.4122,175.5153,64.99,94,90,20.71
